# ----------------------------------------
# Traffic acquisition: Session Updated Channel Group
# Account: MyPlace GA4
# Property: My Place Hotels of America (GA4)
# ----------------------------------------
# 
# All Users
# Start date: 20260401
# End date: 20260430
Session Updated Channel Group,Date,Active users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per active user,Events per session,Engagement rate,Event count,Key events,Session key event rate,Total revenue
Referral,20260411,747,767,47,7.45632333767927,0.06291834002677377,3.5215123859191655,0.061277705345501955,2701,4,0.005215123859191656,2843.02
Referral,20260404,742,749,42,8.092122830440587,0.05660377358490566,3.635514018691589,0.056074766355140186,2723,1,0.0013351134846461949,98.1
Organic Search,20260409,722,852,597,76.90727699530517,0.8268698060941828,8.37206572769953,0.7007042253521126,7133,44,0.04107981220657277,14949.49
Cross-network,20260413,708,892,582,74.46636771300449,0.8220338983050848,8.688340807174887,0.6524663677130045,7750,45,0.042600896860986545,20386.95
Cross-network,20260409,700,878,574,60.69362186788155,0.82,7.57630979498861,0.6537585421412301,6652,28,0.029612756264236904,8405.26
Referral,20260429,698,735,99,11.137414965986395,0.14183381088825214,3.895238095238095,0.1346938775510204,2863,6,0.006802721088435374,2556.37
Cross-network,20260424,694,864,554,61.991898148148145,0.7982708933717579,7.599537037037037,0.6412037037037037,6566,36,0.034722222222222224,9904.56
Cross-network,20260410,692,878,548,63.27107061503417,0.791907514450867,7.422551252847381,0.6241457858769932,6517,38,0.03644646924829157,10218.14
Organic Search,20260413,687,823,586,68.9149453219927,0.8529839883551674,7.938031591737546,0.7120291616038882,6533,40,0.03766707168894289,17391.58
Referral,20260420,684,706,76,12.31586402266289,0.1111111111111111,3.9461756373937678,0.10764872521246459,2786,12,0.014164305949008499,2350
Property WiFi    ,20260405,679,734,89,4.970027247956403,0.13107511045655376,3.1689373297002725,0.12125340599455041,2326,0,0,0
Cross-network,20260416,673,842,528,65.26009501187649,0.7845468053491828,7.752969121140143,0.6270783847980997,6528,23,0.026128266033254157,4246.47
Cross-network,20260417,671,821,542,68.3130328867235,0.8077496274217586,7.925700365408039,0.6601705237515225,6507,36,0.04141291108404385,14280.16
Cross-network,20260411,668,846,518,59.431442080378254,0.7754491017964071,7.5177304964539005,0.6122931442080378,6360,25,0.026004728132387706,4404.52
Referral,20260406,667,687,82,15.116448326055313,0.12293853073463268,4.326055312954876,0.11935953420669577,2972,10,0.008733624454148471,2490.7
Cross-network,20260419,664,790,524,75.13037974683544,0.7891566265060241,8.336708860759494,0.6632911392405063,6586,30,0.0379746835443038,8483.88
Organic Search,20260406,664,785,563,70.5579617834395,0.8478915662650602,8.517197452229299,0.7171974522292993,6686,27,0.03184713375796178,6671.55
Organic Search,20260407,658,789,550,75.79214195183776,0.8358662613981763,8.26489226869455,0.697084917617237,6521,32,0.035487959442332066,9161.14
Cross-network,20260420,655,833,537,76.87394957983193,0.8198473282442749,8.732292917166866,0.6446578631452581,7274,45,0.04801920768307323,17613.09
Organic Search,20260427,653,803,573,92.4906600249066,0.877488514548239,8.46077210460772,0.7135740971357409,6794,31,0.031133250311332503,14809.92
Cross-network,20260415,646,832,502,70.92307692307692,0.7770897832817337,8.461538461538462,0.6033653846153846,7040,46,0.04807692307692308,15295.67
